County,Precinct,Bennet_First_Expression,Bennet_Final_Expression,Bennet_SDE,Biden_First_Expression,Biden_Final_Expression,Biden_SDE,Bloomberg_First_Expression,Bloomberg_Final_Expression,Bloomberg_SDE,Buttigieg_First_Expression,Buttigieg_Final_Expression,Buttigieg_SDE,Delaney_First_Expression,Delaney_Final_Expression,Delaney_SDE,Gabbard_First_Expression,Gabbard_Final_Expression,Gabbard_SDE,Klobuchar_First_Expression,Klobuchar_Final_Expression,Klobuchar_SDE,Patrick_First_Expression,Patrick_Final_Expression,Patrick_SDE,Sanders_First_Expression,Sanders_Final_Expression,Sanders_SDE,Steyer_First_Expression,Steyer_Final_Expression,Steyer_SDE,Warren_First_Expression,Warren_Final_Expression,Warren_SDE,Yang_First_Expression,Yang_Final_Expression,Yang_SDE,Other_First_Expression,Other_Final_Expression,Other_SDE,Uncommitted_First_Expression,Uncommitted_Final_Expression,Uncommitted_SDE
Adair,1NW_ADAIR,0,0,0,6,6,0.0784,0,0,0,8,8,0.0784,0,0,0,0,0,0,8,8,0.1569,0,0,0,9,9,0.1569,0,0,0,9,9,0.1569,0,0,0,0,0,0,0,0,0
Adair,5GF_GREENFIELD,0,0,0,8,0,0,0,0,0,10,12,0.1569,0,0,0,0,0,0,26,32,0.3922,0,0,0,16,21,0.3137,0,0,0,6,0,0,12,13,0.1569,0,0,0,0,0,0
Adair,Total,0,0,0,14,6,0.0784,0,0,0,18,20,0.2353,0,0,0,0,0,0,34,40,0.5491,0,0,0,25,30,0.4706,0,0,0,15,9,0.1569,12,13,0.1569,0,0,0,0,0,0
Adams,Adams_1,0,0,0,5,5,0.0857,0,0,0,7,7,0.1714,0,0,0,0,0,0,5,5,0.1714,0,0,0,7,7,0.1714,0,0,0,5,5,0.0857,0,0,0,0,0,0,0,0,0
Adams,Adams_4,0,0,0,6,6,0.1714,0,0,0,3,3,0.0857,0,0,0,0,0,0,4,4,0.1714,0,0,0,2,0,0,0,0,0,3,5,0.1714,0,0,0,0,0,0,0,0,0
Adams,Adams_5,0,0,0,4,4,0.0857,0,0,0,5,5,0.1714,0,0,0,0,0,0,3,3,0.0857,0,0,0,3,3,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Total,0,0,0,15,15,0.3428,0,0,0,15,15,0.4285,0,0,0,0,0,0,12,12,0.4285,0,0,0,12,10,0.2571,0,0,0,8,10,0.2571,0,0,0,0,0,0,0,0,0
Allamakee,Pct_01_WL_HV,0,0,0,1,0,0,0,0,0,4,4,0.0778,0,0,0,0,0,0,6,7,0.1556,0,0,0,5,5,0.0778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee,Pct_11_Waukon_3,1,0,0,8,12,0.2333,0,0,0,9,12,0.2333,0,0,0,0,0,0,9,9,0.1556,0,0,0,6,7,0.0778,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Allamakee,Pct_02_FC_JF_LL_MK_UP,0,0,0,6,0,0,0,0,0,11,14,0.2333,0,0,0,0,0,0,13,18,0.2333,0,0,0,13,13,0.2333,8,0,0,11,11,0.1556,9,13,0.2333,0,2,0,0,0,0
Allamakee,Pct_04_PV_City,0,0,0,7,7,0.1556,0,0,0,15,15,0.2333,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0778,0,0,0,0,0,0,10,10,0.1556,0,0,0,0,0,0
Allamakee,Pct_05_LT_PC_WV_City,0,0,0,2,0,0,0,0,0,5,7,0.0778,0,0,0,0,0,0,6,6,0.0778,0,0,0,5,5,0.0778,0,0,0,4,5,0.0778,0,0,0,0,0,0,0,0,0
Allamakee,Pct_07_CN_LF_LS_LS_City,0,0,0,8,0,0,0,0,0,47,52,0.7000,0,0,0,0,0,0,16,30,0.3889,0,0,0,16,21,0.3111,6,0,0,5,0,0,3,0,0,0,0,0,4,0,0
Allamakee,Pct_09_Waukon_1,0,0,0,13,13,0.1556,0,0,0,21,27,0.3889,0,0,0,0,0,0,9,10,0.1556,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0
Allamakee,Total,1,0,0,45,32,0.5445,0,0,0,112,131,1.9444,0,0,0,0,0,0,59,80,1.1668,0,0,0,51,57,0.8556,16,0,0,27,16,0.2334,31,23,0.3889,0,2,0,4,4,0
Appanoose,Walnut,0,0,0,0,0,0,0,0,0,8,8,0.1600,0,0,0,0,0,0,3,3,0.0800,0,0,0,2,0,0,2,3,0.0800,0,0,0,3,4,0.0800,0,0,0,0,0,0
Appanoose,Centerville_Ward_1,0,0,0,9,14,0.2400,0,0,0,25,29,0.5600,0,0,0,0,0,0,5,0,0,0,0,0,11,12,0.2400,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0
Appanoose,Centerville_Ward_2,0,0,0,9,10,0.1600,0,0,0,23,23,0.3200,0,0,0,0,0,0,9,11,0.1600,0,0,0,20,21,0.2400,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Centerville_Ward_3,0,0,0,11,14,0.2400,0,0,0,18,21,0.3200,0,0,0,0,0,0,1,0,0,0,0,0,12,12,0.2400,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0
Appanoose,Caldwell_Township,0,0,0,1,0,0,0,0,0,4,7,0.0800,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0.0800,3,0,0,0,0,0,0,0,0,0,2,0
Appanoose,Johns_Independence,0,0,0,10,11,0.1600,0,0,0,3,7,0.0800,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,7,0.0800,0,0,0,0,0,0,0,0,0
Appanoose,Pleasant_Franklin,0,0,0,8,8,0.1600,0,0,0,10,10,0.1600,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.0800,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
Appanoose,Taylor_Chariton,0,0,0,7,10,0.2400,0,0,0,10,14,0.2400,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0.0800,3,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Union_Udell_Township,0,0,0,11,14,0.1600,0,0,0,3,6,0.0800,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0.0800,2,0,0,2,0,0,1,0,0,0,0,0,1,2,0
Appanoose,Vermillion_Douglas_Sharon,0,0,0,8,8,0.0800,0,0,0,14,15,0.2400,0,0,0,0,0,0,4,8,0.1600,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Washington_Wells,0,0,0,6,7,0.2400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Total,0,0,0,80,96,1.6800,0,0,0,119,140,2.2400,0,0,0,0,0,0,30,22,0.4000,0,0,0,61,57,0.9600,15,12,0.2400,35,7,0.0800,4,4,0.0800,0,0,0,2,8,0
Audubon,Precinct_1,0,0,0,17,23,0.3000,0,0,0,23,31,0.4000,0,0,0,0,0,0,17,18,0.3000,0,0,0,17,18,0.2000,8,0,0,20,21,0.3000,9,0,0,0,0,0,0,0,0
Audubon,Precinct_2,0,0,0,28,38,0.6000,0,0,0,8,0,0,0,0,0,0,0,0,25,37,0.6000,0,0,0,14,17,0.3000,3,0,0,12,0,0,0,0,0,0,0,0,2,0,0
Audubon,Total,0,0,0,45,61,0.9000,0,0,0,31,31,0.4000,0,0,0,0,0,0,42,55,0.9000,0,0,0,31,35,0.5000,11,0,0,32,21,0.3000,9,0,0,0,0,0,2,0,0
Benton,Big_Grove_Union_Van_Horne,0,0,0,7,7,0.0750,0,0,0,8,8,0.1500,0,0,0,0,0,0,10,10,0.1500,0,0,0,12,12,0.2250,0,0,0,7,7,0.0750,0,0,0,0,0,0,0,0,0
Benton,Benton_Canton_Shellsburg,0,0,0,28,31,0.6000,0,0,0,23,29,0.5250,0,0,0,0,0,0,7,0,0,0,0,0,12,14,0.2250,4,0,0,15,15,0.3000,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_1,0,0,0,8,8,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0750,0,0,0,6,6,0.1500,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_2,0,0,0,7,7,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_3,0,0,0,7,9,0.1500,0,0,0,6,7,0.1500,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1500,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Benton,Bruce_Cedar_Mt_Auburn,0,0,0,4,4,0.0750,0,0,0,7,7,0.1500,0,0,0,0,0,0,5,5,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Eden_Harrison_Taylor,0,0,0,10,10,0.1500,0,0,0,13,15,0.2250,0,0,0,0,0,0,10,10,0.1500,0,0,0,7,9,0.1500,5,0,0,8,9,0.0750,0,0,0,0,0,0,0,0,0
