County,Precinct,Bennet_First_Expression,Bennet_Final_Expression,Bennet_SDE,Biden_First_Expression,Biden_Final_Expression,Biden_SDE,Bloomberg_First_Expression,Bloomberg_Final_Expression,Bloomberg_SDE,Buttigieg_First_Expression,Buttigieg_Final_Expression,Buttigieg_SDE,Delaney_First_Expression,Delaney_Final_Expression,Delaney_SDE,Gabbard_First_Expression,Gabbard_Final_Expression,Gabbard_SDE,Klobuchar_First_Expression,Klobuchar_Final_Expression,Klobuchar_SDE,Patrick_First_Expression,Patrick_Final_Expression,Patrick_SDE,Sanders_First_Expression,Sanders_Final_Expression,Sanders_SDE,Steyer_First_Expression,Steyer_Final_Expression,Steyer_SDE,Warren_First_Expression,Warren_Final_Expression,Warren_SDE,Yang_First_Expression,Yang_Final_Expression,Yang_SDE,Other_First_Expression,Other_Final_Expression,Other_SDE,Uncommitted_First_Expression,Uncommitted_Final_Expression,Uncommitted_SDE
Adair,5GF_GREENFIELD,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,0.3922,0.0,0.0,0.0,16.0,21.0,0.3137,0.0,0.0,0.0,6.0,0.0,0.0,12.0,13.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0
Adair,1NW_ADAIR,0.0,0.0,0.0,6.0,6.0,0.0784,0.0,0.0,0.0,8.0,8.0,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.1569,0.0,0.0,0.0,9.0,9.0,0.1569,0.0,0.0,0.0,9.0,9.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adair,3SW_FONTANELLE,0.0,0.0,0.0,9.0,9.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.1569,1.0,0.0,0.0,4.0,0.0,0.0,15.0,15.0,0.3922,0.0,0.0,0.0,0.0,0.0,0.0
Adair,4SE_ORIENT,0.0,0.0,0.0,7.0,7.0,0.1569,0.0,0.0,0.0,6.0,6.0,0.1569,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.1569,0.0,0.0,0.0,6.0,6.0,0.0784,0.0,0.0,0.0,9.0,9.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adair,2NE_STUART,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.1569,0.0,0.0,0.0,10.0,10.0,0.2353,7.0,7.0,0.1569,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams_5,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams_2,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,4.0,4.0,0.0857,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams_4,0.0,0.0,0.0,6.0,6.0,0.1714,0.0,0.0,0.0,3.0,3.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.1714,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams_1,0.0,0.0,0.0,5.0,5.0,0.0857,0.0,0.0,0.0,7.0,7.0,0.1714,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,7.0,7.0,0.1714,0.0,0.0,0.0,5.0,5.0,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,Adams_3,0.0,0.0,0.0,11.0,12.0,0.3429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.1714,0.0,0.0,0.0,5.0,5.0,0.1714,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
